cell,concept_a,concept_b,l2
gradual,0,5,1.9791
gradual,0,6,1.8616
gradual,0,7,1.9727
gradual,0,8,2.097
gradual,0,9,1.9428
gradual,0,10,1.7862
gradual,0,11,1.8634
gradual,0,12,1.9199
gradual,0,13,1.8386
gradual,0,14,1.82
gradual,0,15,2.1315
gradual,0,16,2.3042
gradual,0,17,2.2253
gradual,0,18,2.1014
gradual,0,19,2.1581
gradual,0,20,2.217
gradual,0,21,2.1878
gradual,0,22,2.2307
gradual,0,23,2.3808
gradual,0,24,2.4612
gradual,1,2,0.7537
gradual,1,3,1.5047
gradual,1,4,1.8018
gradual,1,5,1.696
gradual,1,6,1.6316
gradual,1,7,1.8308
gradual,1,8,1.9904
gradual,1,9,1.835
gradual,1,10,1.6553
gradual,1,11,1.7323
gradual,1,12,1.791
gradual,1,13,1.7009
gradual,1,14,1.683
gradual,1,15,2.0128
gradual,1,16,2.1947
gradual,1,17,2.1094
gradual,1,18,1.9745
gradual,1,19,2.025
gradual,1,20,2.0878
gradual,1,21,2.0496
gradual,1,22,2.0855
gradual,1,23,2.2373
gradual,1,24,2.3198
gradual,2,3,0.7516
gradual,2,4,1.0501
gradual,2,5,0.9648
gradual,2,6,1.104
gradual,2,7,1.5817
gradual,2,8,1.8277
gradual,2,9,1.6854
gradual,2,10,1.4745
gradual,2,11,1.5598
gradual,2,12,1.6247
gradual,2,13,1.514
gradual,2,14,1.4837
gradual,2,15,1.8283
gradual,2,16,2.0227
gradual,2,17,1.9195
gradual,2,18,1.7552
gradual,2,19,1.7782
gradual,2,20,1.8496
gradual,2,21,1.7952
gradual,2,22,1.8283
gradual,2,23,1.9977
gradual,2,24,2.0913
gradual,3,4,0.3059
gradual,3,5,0.3444
gradual,3,6,0.9522
gradual,3,7,1.6666
gradual,3,8,1.9607
gradual,3,9,1.8519
gradual,3,10,1.6448
gradual,3,11,1.7155
gradual,3,12,1.7739
gradual,3,13,1.6669
gradual,3,14,1.6398
gradual,3,15,1.9454
gradual,3,16,2.1284
gradual,3,17,2.0197
