experiment;tag;method;n_features;n_windows;time_s;ms_per_window;peak_mb
exp2;chunk100_ninf10_sudden;ReMF;20;5000;386,2540;77,2510;0,2900
exp2;chunk100_ninf10_sudden;Komorniczak;20;5000;614,5480;122,9100;0,6100
exp2;chunk100_ninf10_sudden;Vanilla;20;5000;0,5380;0,1080;0,0500
