stream;n_informative;n_features;drift_type;chunk_size;n_concepts;random_baseline;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
stream-learn;5;20;sudden;1000;21;0,0476;Raw + temporal / KNN;0,9182;statistical / HT;0,9904;HT;0,9937;-0,0722;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,5786;Aggstats;0,9875;statistical;0,9913;0,9182;Raw + temporal;0,8633;landmarking;0,9637;0,8875;Raw + temporal;0,9904;statistical;0,9937;0,7520;Raw + temporal;0,8450;model-based;0,7447
stream-learn;10;20;sudden;1000;21;0,0476;Raw + temporal / KNN;0,9499;statistical / HT;0,9858;HT;0,9945;-0,0359;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,5172;Raw + temporal;0,9776;statistical;0,9920;0,9499;Raw + temporal;0,8363;statistical;0,9672;0,9422;Raw + temporal;0,9858;statistical;0,9945;0,7602;Raw + temporal;0,7652;clustering;0,8658
stream-learn;15;20;sudden;1000;21;0,0476;Raw + temporal / KNN;0,9515;statistical / HT;0,9812;HT;0,9944;-0,0298;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,4601;Aggstats;0,9635;statistical;0,9920;0,9515;Raw + temporal;0,8293;statistical;0,9595;0,9451;Raw + temporal;0,9812;statistical;0,9944;0,7520;Raw + temporal;0,7310;model-based;0,9060
stream-learn;3;20;gradual;100;25;0,0400;Aggstats / MLP;0,5099;model-based / MLP;0,5961;GNB;0,6818;-0,0862;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2639;Aggstats;0,4030;statistical;0,6818;0,4315;Raw + temporal;0,2867;landmarking;0,5249;0,3115;Raw scores;0,4579;statistical;0,6814;0,5099;Aggstats;0,5961;model-based;0,4515
stream-learn;5;20;gradual;100;25;0,0400;Aggstats / MLP;0,5751;model-based / MLP;0,5606;GNB;0,8026;0,0144;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2397;Aggstats;0,5057;statistical;0,8026;0,4255;Raw + temporal;0,3000;statistical;0,6330;0,3415;Raw + temporal;0,5335;statistical;0,8022;0,5751;Aggstats;0,5606;model-based;0,5334
stream-learn;10;20;gradual;100;25;0,0400;Aggstats / MLP;0,5560;statistical / MLP;0,5724;GNB;0,8767;-0,0163;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2525;Aggstats;0,5498;statistical;0,8767;0,4438;Raw scores;0,3276;statistical;0,6928;0,3838;Raw + temporal;0,5662;statistical;0,8765;0,5560;Aggstats;0,5724;statistical;0,5297
stream-learn;15;20;gradual;100;25;0,0400;Aggstats / MLP;0,5010;statistical / MLP;0,6108;HT;0,8740;-0,1099;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2467;Aggstats;0,5588;statistical;0,8735;0,4139;Raw scores;0,3575;statistical;0,6886;0,3731;Raw + temporal;0,5810;statistical;0,8740;0,5010;Aggstats;0,6108;statistical;0,6233
stream-learn;3;20;gradual;200;25;0,0400;Aggstats / MLP;0,5701;statistical / HT;0,6288;GNB;0,7665;-0,0587;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3099;Aggstats;0,4893;statistical;0,7665;0,5048;Raw + temporal;0,3806;landmarking;0,6155;0,4393;Raw + temporal;0,6288;statistical;0,7661;0,5701;Aggstats;0,6245;model-based;0,4388
stream-learn;5;20;gradual;200;25;0,0400;Aggstats / MLP;0,5391;statistical / HT;0,6696;GNB;0,8740;-0,1304;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2849;Aggstats;0,5773;statistical;0,8740;0,5247;Raw + temporal;0,3628;landmarking;0,7175;0,4742;Raw + temporal;0,6696;statistical;0,8735;0,5391;Aggstats;0,5934;model-based;0,5211
stream-learn;10;20;gradual;200;25;0,0400;Aggstats / MLP;0,5274;statistical / HT;0,7067;GNB;0,9179;-0,1794;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2975;Aggstats;0,5671;statistical;0,9179;0,5046;Raw scores;0,4120;statistical;0,7689;0,4494;Raw + temporal;0,7067;statistical;0,9175;0,5274;Aggstats;0,5969;model-based;0,5972
stream-learn;15;20;gradual;200;25;0,0400;Aggstats / MLP;0,5732;statistical / HT;0,6835;GNB;0,9147;-0,1103;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2853;Raw + temporal;0,4885;statistical;0,9147;0,5100;Raw scores;0,4101;statistical;0,7593;0,4873;Raw + temporal;0,6835;statistical;0,9144;0,5732;Aggstats;0,5895;statistical;0,6247
stream-learn;3;20;gradual;500;25;0,0400;Raw + temporal / KNN;0,6081;statistical / HT;0,7963;GNB;0,8657;-0,1882;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3934;Aggstats;0,7583;statistical;0,8657;0,6081;Raw + temporal;0,5106;landmarking;0,7281;0,5298;Raw + temporal;0,7963;statistical;0,8653;0,4322;Aggstats;0,5972;model-based;0,4092
stream-learn;5;20;gradual;500;25;0,0400;Raw + temporal / KNN;0,5803;statistical / HT;0,8504;GNB;0,9234;-0,2701;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3805;Aggstats;0,7759;statistical;0,9234;0,5803;Raw + temporal;0,5015;landmarking;0,8061;0,5351;Raw + temporal;0,8504;statistical;0,9228;0,4793;Aggstats;0,5887;model-based;0,5261
stream-learn;10;20;gradual;500;25;0,0400;Raw scores / KNN;0,5930;statistical / HT;0,8863;GNB;0,9500;-0,2933;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3905;Aggstats;0,8196;statistical;0,9500;0,5930;Raw scores;0,5703;statistical;0,8402;0,5699;Raw + temporal;0,8863;statistical;0,9493;0,5651;Aggstats;0,6268;model-based;0,5747
stream-learn;15;20;gradual;500;25;0,0400;Aggstats / MLP;0,5927;statistical / HT;0,8751;GNB;0,9480;-0,2824;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3163;Aggstats;0,8411;statistical;0,9480;0,5924;Raw scores;0,5797;statistical;0,8401;0,5125;Raw + temporal;0,8751;statistical;0,9475;0,5927;Aggstats;0,5847;model-based;0,6133
stream-learn;3;20;gradual;1000;25;0,0400;Raw + temporal / KNN;0,6549;statistical / HT;0,8634;GNB;0,9034;-0,2085;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,4774;Aggstats;0,8127;statistical;0,9034;0,6549;Raw + temporal;0,5756;landmarking;0,8017;0,5831;Raw + temporal;0,8634;statistical;0,9030;0,4878;Aggstats;0,7277;model-based;0,3923
stream-learn;5;20;gradual;1000;25;0,0400;Raw + temporal / KNN;0,6832;statistical / HT;0,8951;GNB;0,9441;-0,2119;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,5342;Aggstats;0,8114;statistical;0,9441;0,6832;Raw + temporal;0,5990;statistical;0,8571;0,6074;Raw + temporal;0,8951;statistical;0,9436;0,5457;Aggstats;0,6495;model-based;0,5187
stream-learn;10;20;gradual;1000;25;0,0400;Raw + temporal / KNN;0,6840;statistical / HT;0,9163;GNB;0,9604;-0,2323;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,4712;Aggstats;0,8434;statistical;0,9604;0,6840;Raw + temporal;0,6716;statistical;0,8721;0,6023;Raw + temporal;0,9163;statistical;0,9596;0,4870;Aggstats;0,7062;model-based;0,5717
stream-learn;15;20;gradual;1000;25;0,0400;Raw scores / KNN;0,6753;statistical / HT;0,9161;GNB;0,9574;-0,2408;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3981;Aggstats;0,8478;statistical;0,9574;0,6753;Raw scores;0,6542;statistical;0,8658;0,5986;Raw + temporal;0,9161;statistical;0,9563;0,4727;Aggstats;0,6901;model-based;0,6026
