cell,n_informative,concept_a,concept_b,l2,l2_std,n_reps
ninf3_sudden,3,5,19,0.7925,0.1192,5
ninf3_sudden,3,5,20,0.7283,0.1363,5
ninf3_sudden,3,6,7,0.8088,0.1169,5
ninf3_sudden,3,6,8,0.8962,0.3298,5
ninf3_sudden,3,6,9,1.0102,0.1749,5
ninf3_sudden,3,6,10,0.8685,0.2239,5
ninf3_sudden,3,6,11,0.9682,0.2573,5
ninf3_sudden,3,6,12,0.8944,0.1074,5
ninf3_sudden,3,6,13,0.942,0.1414,5
ninf3_sudden,3,6,14,0.844,0.2225,5
ninf3_sudden,3,6,15,0.7757,0.0837,5
ninf3_sudden,3,6,16,0.9475,0.1041,5
ninf3_sudden,3,6,17,0.8969,0.0538,5
ninf3_sudden,3,6,18,1.0312,0.2045,5
ninf3_sudden,3,6,19,0.9371,0.1693,5
ninf3_sudden,3,6,20,0.7036,0.119,5
ninf3_sudden,3,7,8,0.8986,0.2139,5
ninf3_sudden,3,7,9,1.0385,0.1514,5
ninf3_sudden,3,7,10,0.8424,0.2039,5
ninf3_sudden,3,7,11,0.8545,0.1284,5
ninf3_sudden,3,7,12,0.7817,0.1948,5
ninf3_sudden,3,7,13,0.839,0.2158,5
ninf3_sudden,3,7,14,0.7755,0.0793,5
ninf3_sudden,3,7,15,0.7245,0.1599,5
ninf3_sudden,3,7,16,0.9163,0.1406,5
ninf3_sudden,3,7,17,0.8388,0.2167,5
ninf3_sudden,3,7,18,0.9733,0.319,5
ninf3_sudden,3,7,19,0.6503,0.355,5
ninf3_sudden,3,7,20,0.7331,0.1583,5
ninf3_sudden,3,8,9,1.1012,0.1895,5
ninf3_sudden,3,8,10,0.8813,0.5621,5
ninf3_sudden,3,8,11,0.8904,0.3271,5
ninf3_sudden,3,8,12,0.8119,0.2033,5
ninf3_sudden,3,8,13,0.9399,0.164,5
ninf3_sudden,3,8,14,0.8855,0.2614,5
ninf3_sudden,3,8,15,0.6667,0.2358,5
ninf3_sudden,3,8,16,0.9695,0.2399,5
ninf3_sudden,3,8,17,0.8048,0.2235,5
ninf3_sudden,3,8,18,0.9288,0.3716,5
ninf3_sudden,3,8,19,0.9049,0.267,5
ninf3_sudden,3,8,20,0.7904,0.2745,5
ninf3_sudden,3,9,10,1.0656,0.1192,5
ninf3_sudden,3,9,11,1.1106,0.1159,5
ninf3_sudden,3,9,12,1.0454,0.2298,5
ninf3_sudden,3,9,13,1.1726,0.2706,5
ninf3_sudden,3,9,14,1.0368,0.1633,5
ninf3_sudden,3,9,15,0.962,0.1603,5
ninf3_sudden,3,9,16,1.1008,0.1931,5
ninf3_sudden,3,9,17,1.1066,0.1621,5
ninf3_sudden,3,9,18,1.1933,0.1363,5
ninf3_sudden,3,9,19,1.0687,0.0908,5
ninf3_sudden,3,9,20,0.9589,0.1567,5
ninf3_sudden,3,10,11,0.8659,0.222,5
ninf3_sudden,3,10,12,0.9388,0.1382,5
ninf3_sudden,3,10,13,0.8909,0.0567,5
ninf3_sudden,3,10,14,0.901,0.2164,5
ninf3_sudden,3,10,15,0.7536,0.1994,5
ninf3_sudden,3,10,16,0.9381,0.1358,5
ninf3_sudden,3,10,17,0.9362,0.1411,5
ninf3_sudden,3,10,18,0.952,0.3035,5
ninf3_sudden,3,10,19,0.8151,0.1688,5
ninf3_sudden,3,10,20,0.7593,0.1662,5
ninf3_sudden,3,11,12,0.8807,0.1404,5
ninf3_sudden,3,11,13,0.759,0.1607,5
ninf3_sudden,3,11,14,0.8587,0.1481,5
ninf3_sudden,3,11,15,0.7689,0.1135,5
ninf3_sudden,3,11,16,0.9322,0.1748,5
ninf3_sudden,3,11,17,0.8268,0.1056,5
ninf3_sudden,3,11,18,1.0368,0.1795,5
ninf3_sudden,3,11,19,0.8858,0.1103,5
ninf3_sudden,3,11,20,0.7673,0.1115,5
ninf3_sudden,3,12,13,0.8501,0.2729,5
ninf3_sudden,3,12,14,0.8384,0.2208,5
ninf3_sudden,3,12,15,0.5526,0.4393,5
ninf3_sudden,3,12,16,0.9746,0.2435,5
ninf3_sudden,3,12,17,0.7779,0.4408,5
ninf3_sudden,3,12,18,0.8919,0.4484,5
ninf3_sudden,3,12,19,0.8302,0.1103,5
ninf3_sudden,3,12,20,0.6907,0.3543,5
ninf3_sudden,3,13,14,0.8548,0.133,5
ninf3_sudden,3,13,15,0.7581,0.1651,5
ninf3_sudden,3,13,16,0.9408,0.1446,5
ninf3_sudden,3,13,17,0.9257,0.2046,5
ninf3_sudden,3,13,18,1.0353,0.1782,5
ninf3_sudden,3,13,19,0.875,0.1684,5
ninf3_sudden,3,13,20,0.7592,0.1672,5
ninf3_sudden,3,14,15,0.7351,0.1393,5
ninf3_sudden,3,14,16,0.9179,0.1429,5
ninf3_sudden,3,14,17,0.8658,0.0938,5
ninf3_sudden,3,14,18,1.0849,0.2746,5
ninf3_sudden,3,14,19,0.7894,0.1728,5
ninf3_sudden,3,14,20,0.7354,0.1426,5
ninf3_sudden,3,15,16,0.8286,0.115,5
ninf3_sudden,3,15,17,0.6344,0.3107,5
ninf3_sudden,3,15,18,0.7945,0.4131,5
ninf3_sudden,3,15,19,0.7685,0.0744,5
ninf3_sudden,3,15,20,0.5751,0.273,5
ninf3_sudden,3,16,17,0.9452,0.1195,5
ninf3_sudden,3,16,18,1.0845,0.1329,5
ninf3_sudden,3,16,19,0.9429,0.0709,5
ninf3_sudden,3,16,20,0.7744,0.0785,5
ninf3_sudden,3,17,18,0.8887,0.4519,5
ninf3_sudden,3,17,19,0.9326,0.1735,5
ninf3_sudden,3,17,20,0.7755,0.0786,5
ninf3_sudden,3,18,19,1.0138,0.254,5
ninf3_sudden,3,18,20,0.8069,0.2204,5
ninf3_sudden,3,19,20,0.7695,0.0685,5
ninf5_sudden,5,0,1,1.7617,0.3179,5
ninf5_sudden,5,0,2,1.8089,0.2615,5
ninf5_sudden,5,0,3,1.7809,0.2452,5
ninf5_sudden,5,0,4,1.6484,0.1926,5
ninf5_sudden,5,0,5,1.5719,0.5192,5
ninf5_sudden,5,0,6,1.7718,0.1625,5
ninf5_sudden,5,0,7,1.7314,0.2558,5
ninf5_sudden,5,0,8,1.7501,0.2812,5
ninf5_sudden,5,0,9,1.8288,0.2505,5
ninf5_sudden,5,0,10,1.7801,0.5356,5
ninf5_sudden,5,0,11,1.6934,0.2612,5
ninf5_sudden,5,0,12,1.9318,0.2809,5
ninf5_sudden,5,0,13,1.6698,0.2718,5
ninf5_sudden,5,0,14,1.8307,0.3093,5
ninf5_sudden,5,0,15,1.6494,0.1919,5
ninf5_sudden,5,0,16,1.6481,0.3234,5
ninf5_sudden,5,0,17,1.8666,0.2716,5
ninf5_sudden,5,0,18,1.7108,0.216,5
ninf5_sudden,5,0,19,1.7365,0.3135,5
ninf5_sudden,5,0,20,1.6874,0.1341,5
ninf5_sudden,5,1,2,1.4159,0.2031,5
ninf5_sudden,5,1,3,1.4813,0.2145,5
ninf5_sudden,5,1,4,1.3909,0.1598,5
ninf5_sudden,5,1,5,1.4825,0.2208,5
ninf5_sudden,5,1,6,1.5062,0.2729,5
ninf5_sudden,5,1,7,1.4771,0.2524,5
ninf5_sudden,5,1,8,1.3206,0.084,5
ninf5_sudden,5,1,9,1.5872,0.2676,5
ninf5_sudden,5,1,10,1.5532,0.1894,5
ninf5_sudden,5,1,11,1.5068,0.2661,5
ninf5_sudden,5,1,12,1.6752,0.3089,5
ninf5_sudden,5,1,13,1.3855,0.2125,5
ninf5_sudden,5,1,14,1.6647,0.2664,5
ninf5_sudden,5,1,15,1.5642,0.2896,5
ninf5_sudden,5,1,16,1.4429,0.1875,5
ninf5_sudden,5,1,17,1.6695,0.2285,5
ninf5_sudden,5,1,18,1.5111,0.3279,5
ninf5_sudden,5,1,19,1.501,0.2239,5
ninf5_sudden,5,1,20,1.4478,0.2342,5
ninf5_sudden,5,2,3,1.3802,0.2928,5
ninf5_sudden,5,2,4,1.2923,0.1984,5
ninf5_sudden,5,2,5,1.3446,0.3047,5
ninf5_sudden,5,2,6,1.5017,0.2351,5
ninf5_sudden,5,2,7,1.3357,0.1239,5
ninf5_sudden,5,2,8,1.1242,0.208,5
ninf5_sudden,5,2,9,1.4015,0.288,5
ninf5_sudden,5,2,10,1.4402,0.4692,5
ninf5_sudden,5,2,11,1.3217,0.2368,5
ninf5_sudden,5,2,12,1.5991,0.1058,5
ninf5_sudden,5,2,13,1.3283,0.2201,5
