cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf5_sudden,5,4,-0.5107,-0.4925,-0.0055,-0.4998,0.001,-0.4956,0.0092,0.0021,0.0004,0.5049,0.0049,0.0025,-0.0143,-0.0008,0.0113,0.0062,0.0033,-0.0008,0.0127,0.001
ninf5_sudden,5,5,0.5084,-0.0055,-0.0008,-0.0047,-0.0039,-0.0028,-0.5037,0.0039,-0.5124,0.0029,-0.0056,-0.4942,0.0025,-0.0031,0.0031,-0.0069,0.0055,0.0005,0.4869,0.0008
ninf5_sudden,5,6,-0.0023,0.9943,-0.0057,-0.0096,-0.0018,0.0045,-0.0097,-0.4944,0.0015,0.0063,-0.0024,0.002,-0.5017,-0.002,-0.0034,0.0007,0.0082,0.0043,-0.0072,-0.0093
ninf5_sudden,5,7,0.0006,-0.0009,0.003,0.0028,-0.0009,0.009,0.0062,-0.0037,0.0068,0.0069,0.503,0.0028,-0.001,-0.0012,0.0008,0.0017,-0.004,0.5052,0.0014,-0.0001
ninf5_sudden,5,8,0.5037,0.0007,-0.0087,0.0044,-0.0086,0.0049,0.0071,0.0123,0.001,0.0023,0.0059,0.0021,0.485,0.5087,0.007,-0.0014,-0.0026,0.0048,-0.0056,0.0017
ninf5_sudden,5,9,-0.0046,0.0005,-0.0021,-0.0035,0.4966,0.0042,0.0011,0.0051,0.0008,-0.5067,-0.0039,0.0063,0.4876,0.0026,-0.0051,0.001,-0.0079,0.0011,-0.0032,0.5028
ninf5_sudden,5,10,-0.0065,0.0005,0.0034,-0.0032,-0.0062,-0.0003,0.0007,0.0019,0.0057,1.0068,0.0006,-0.0054,-0.0003,-0.0016,-0.0031,0.0075,0.0084,0.0036,0.5003,-0.0017
ninf5_sudden,5,11,0.5013,-0.003,-0.0023,0.0001,-0.0088,-0.0004,-0.0012,-0.0059,0.0005,0.0002,-0.4853,-0.0019,-0.0108,-0.0003,-0.0045,-0.0064,0.0052,0.0055,0.0012,0.0125
ninf5_sudden,5,12,0.0007,0.0068,0.0018,-0.0035,0.0027,-0.4964,0.0001,-0.0047,-0.4988,0.0037,-0.4925,-0.0003,0.0019,0.0023,-0.0027,0.9988,-0.0079,-0.508,-0.0066,0.0058
ninf5_sudden,5,13,-0.0019,0.0018,-0.0009,0.0046,0.0047,-0.0067,0.0009,0.4977,0.003,0.0047,0.0018,0.0033,0.0027,0.0056,-0.5067,0.0003,0.0093,0.006,-0.0011,0.4998
ninf5_sudden,5,14,0.0016,-0.5072,-0.0002,-0.0027,0.0079,-0.0152,0.0041,-0.0056,-0.002,0.4884,-0.0031,0.0007,0.0004,0.0016,0.0052,-0.0023,0.0006,0.0089,0.0018,0.4851
ninf5_sudden,5,15,-0.0003,-0.0072,-0.0039,-0.0031,-0.0042,0.0017,-0.004,-0.0049,0.0045,-0.0021,0.0013,0.0056,-0.0011,0.0022,-0.0006,-0.0058,-0.006,-0.0019,0.0004,-0.0026
ninf5_sudden,5,16,0.0032,0.0024,0.007,-0.0021,0.012,-0.0038,-0.5066,0.0054,-0.0022,-0.0026,0.0001,0.0032,0.4992,-0.0124,-0.0091,0.0044,0.509,0.0041,0.0066,-0.0054
ninf5_sudden,5,17,0.9936,-0.4991,0.0029,0.0108,-0.0151,-0.0005,0.005,0.0024,-0.0029,0.0044,0.0027,-0.0104,0.001,0.0007,-0.0043,0.0092,-0.0057,0.002,-0.0001,0.0054
ninf5_sudden,5,18,-0.005,0.008,-0.0018,-0.9869,0.0029,-0.0045,0.0014,0.0045,0.0024,0.0004,-1.0002,-0.0045,-0.4918,0.514,0.0002,-0.0023,0.0036,0.0052,-0.0027,0.0063
ninf5_sudden,5,19,0.0084,-0.0064,-0.0019,0.0051,0.0065,-0.0008,-0.0011,-0.0013,-0.0006,-0.5084,-0.0002,0.0007,-0.0066,-0.0012,0.0041,0.0031,-0.0106,-0.0,-0.0085,-0.0037
ninf5_sudden,5,20,-0.0014,-0.0072,-0.0065,-0.4994,0.0047,-0.4972,-0.5069,1.0066,-0.0049,0.0101,0.0089,0.01,-0.0039,-0.0011,0.0019,0.0059,0.0016,0.0025,0.0063,0.0067
ninf10_sudden,10,0,-0.4995,0.0078,0.0144,0.9873,0.5131,0.0091,-0.0033,-0.5024,-0.493,0.0064,-0.5002,0.5079,-0.5027,0.0022,0.0064,-0.0071,-0.0057,0.0005,0.0039,-0.5157
ninf10_sudden,10,1,-0.0071,-0.998,0.0024,-0.0039,-0.5176,-0.0002,0.0009,-0.0042,-0.001,-0.4954,-0.0039,0.4953,-0.5052,-0.0027,-0.4831,-0.0005,0.0002,0.0022,-0.4986,0.0003
ninf10_sudden,10,2,-0.0001,-0.0029,0.0003,0.0004,-0.0002,0.0006,0.0103,-0.4958,0.0016,-0.0015,-0.0058,-0.0043,0.0004,0.5053,-0.4936,-0.5164,0.4895,0.005,-0.4976,-0.5089
ninf10_sudden,10,3,-0.0069,-0.4884,-0.4947,0.0009,-0.002,-0.0009,0.0075,0.5028,0.0065,-0.004,-0.0095,-0.0082,-0.0013,-0.0014,-0.0006,-0.4958,-0.4857,0.4974,0.0069,0.0118
ninf10_sudden,10,4,-0.0026,-0.0008,0.0075,-0.0007,-0.0031,0.5103,0.5079,-1.0004,-0.0147,-0.0024,0.4864,-0.5072,0.49,-0.007,-0.0001,-0.007,0.0065,-0.0077,0.0029,0.0012
ninf10_sudden,10,5,-0.4926,0.0138,-0.0071,-0.0029,-0.0183,0.0009,-0.0055,0.0008,-0.0036,-0.0002,0.0021,0.0023,0.4888,-0.0053,0.0025,0.0006,-0.5019,-0.496,0.0049,0.514
ninf10_sudden,10,6,0.0002,-0.0073,0.506,-0.0135,0.0022,-0.0012,0.0151,0.4946,-0.0011,-0.0014,0.5058,-0.0119,-0.0082,0.4965,0.5135,0.0047,-0.005,-0.0055,0.4946,-0.0053
ninf10_sudden,10,7,-0.0035,0.0033,-0.4981,0.5007,0.0026,-0.0017,0.0026,-0.0026,-0.0054,-0.0015,-0.0058,0.0052,0.0056,0.0048,0.008,0.004,-0.5089,0.0035,-1.0007,0.0017
ninf10_sudden,10,8,-0.0005,-0.0019,1.0165,0.0115,-0.5071,0.0044,-0.5014,1.0106,0.0028,0.4823,-0.0038,-0.0002,0.4978,0.0064,0.0121,-0.0002,0.0003,-0.0218,-0.0128,0.0059
ninf10_sudden,10,9,0.004,0.0014,0.4982,0.9986,0.0038,-0.0081,0.502,-0.0035,-0.0013,-0.0009,-0.4878,-0.4934,0.9929,-0.0041,-0.5087,0.5071,0.006,0.4752,0.4952,0.0027
ninf10_sudden,10,10,-0.5026,0.0035,1.007,-0.9946,1.0153,0.5066,-0.0092,0.0038,-0.0057,0.5016,0.4995,0.0018,0.0015,-0.0013,0.0029,0.0001,-0.0056,-0.0076,-0.0084,-0.0015
