experiment;tag;method;n_features;n_windows;time_s;ms_per_window;peak_mb
exp1;sudden;ReMF;10;5000;351,4950;70,2990;0,1400
exp1;sudden;Komorniczak;10;5000;365,2760;73,0550;0,6100
exp1;sudden;Vanilla;10;5000;0,5250;0,1050;0,0500
