stream;n_features;drift_type;n_concepts;random_baseline;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
stream-learn;10;sudden;21;0,0476;Raw + temporal / KNN;0,8618;statistical / HT;0,8961;HT;0,9907;-0,0343;117,1620;0,1400;92,7140;0,6100;0,1660;2,3600;0,3800;Aggstats;0,8379;statistical;0,9892;0,8618;Raw + temporal;0,6653;statistical;0,9525;0,6535;Raw + temporal;0,8961;statistical;0,9907;0,6050;Aggstats;0,7900;clustering;0,8758
stream-learn;10;gradual;25;0,0400;Aggstats / MLP;0,5616;statistical / HT;0,6399;GNB;0,7496;-0,0783;117,1620;0,1400;92,7140;0,6100;0,1660;2,3600;0,3103;Aggstats;0,4876;statistical;0,7496;0,4544;Raw scores;0,3825;statistical;0,6364;0,3637;Raw + temporal;0,6399;statistical;0,7406;0,5616;Aggstats;0,5821;clustering;0,5481
