experiment;tag;method;n_features;n_windows;time_s;ms_per_window;peak_mb
exp4;sea_chunk100_ndrift1_sudden;ReMF;3;5000;47,4510;9,4900;0,0700
exp4;sea_chunk100_ndrift1_sudden;Komorniczak;3;5000;201,2110;40,2420;0,5200
exp4;sea_chunk100_ndrift1_sudden;Vanilla;3;5000;0,5650;0,1130;0,0100
exp4;stagger_chunk100_ndrift1_sudden;ReMF;3;5000;45,8730;9,1750;0,0500
exp4;stagger_chunk100_ndrift1_sudden;Komorniczak;3;5000;202,3120;40,4620;0,4800
exp4;stagger_chunk100_ndrift1_sudden;Vanilla;3;5000;0,5640;0,1130;0,0100
