stream;n_drifts;n_features;drift_type;chunk_size;n_segments;n_concepts;recurs;random_baseline;n_instances;instances_per_segment;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
sea;1;3;gradual;100;2;2;no;0,5000;500000;250000;Aggstats / KNN;0,9973;general / MLP;0,9994;MLP;0,9980;-0,0021;10,4340;0,0500;;;0,1020;1,9200;0,9932;Aggstats;0,9272;statistical;0,5677;0,9973;Aggstats;0,9581;complexity;0,9160;0,8474;Aggstats;0,9924;clustering;0,8320;0,9919;Raw + temporal;0,9994;general;0,9980
sea;3;3;gradual;100;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9938;statistical / MLP;0,9952;MLP;0,9910;-0,0015;10,4340;0,0500;;;0,1020;1,9200;0,7638;Aggstats;0,6581;concept;0,3191;0,9678;Aggstats;0,9390;complexity;0,7214;0,6992;Raw + temporal;0,8927;clustering;0,3189;0,9938;Aggstats;0,9952;statistical;0,9910
sea;7;3;gradual;100;8;4;yes;0,2500;500000;62500;Aggstats / MLP;0,9822;concept / MLP;0,9821;MLP;0,9624;0,0001;10,4340;0,0500;;;0,1020;1,9200;0,6043;Aggstats;0,6046;concept;0,2984;0,6286;Raw + temporal;0,7372;complexity;0,3478;0,5860;Raw + temporal;0,7319;general;0,2982;0,9822;Aggstats;0,9821;concept;0,9624
sea;15;3;gradual;100;16;4;yes;0,2500;500000;31250;Aggstats / MLP;0,8877;clustering / MLP;0,9388;MLP;0,8138;-0,0511;10,4340;0,0500;;;0,1020;1,9200;0,5575;Aggstats;0,6010;general;0,2794;0,3778;Raw + temporal;0,4659;complexity;0,1828;0,5612;Raw + temporal;0,6783;general;0,2792;0,8877;Aggstats;0,9388;clustering;0,8138
sea;1;3;gradual;200;2;2;no;0,5000;500000;250000;Aggstats / KNN;0,9937;general / MLP;0,9988;MLP;0,9960;-0,0051;10,4340;0,0500;;;0,1020;1,9200;0,9930;Aggstats;0,9428;statistical;0,5607;0,9937;Aggstats;0,9575;complexity;0,8152;0,8257;Raw + temporal;0,9414;complexity;0,5603;0,9817;Aggstats;0,9988;general;0,9960
sea;3;3;gradual;200;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9869;statistical / MLP;0,9900;MLP;0,9806;-0,0031;10,4340;0,0500;;;0,1020;1,9200;0,7592;Aggstats;0,7210;concept;0,3140;0,7235;Raw + temporal;0,8646;complexity;0,4510;0,7384;Raw + temporal;0,8742;general;0,3136;0,9869;Aggstats;0,9900;statistical;0,9806
sea;7;3;gradual;200;8;4;yes;0,2500;500000;62500;Aggstats / MLP;0,9674;concept / MLP;0,9642;MLP;0,9366;0,0033;10,4340;0,0500;;;0,1020;1,9200;0,6424;Aggstats;0,7068;general;0,2919;0,5068;Raw + temporal;0,6685;complexity;0,2475;0,6177;Raw + temporal;0,7836;general;0,2915;0,9674;Aggstats;0,9642;concept;0,9366
sea;15;3;gradual;200;16;4;yes;0,2500;500000;31250;Aggstats / MLP;0,9169;concept / MLP;0,9098;MLP;0,7144;0,0071;10,4340;0,0500;;;0,1020;1,9200;0,5957;Aggstats;0,7072;general;0,2709;0,5291;Raw + temporal;0,7341;complexity;0,2683;0,6081;Raw + temporal;0,7333;general;0,2707;0,9169;Aggstats;0,9098;concept;0,7144
sea;1;3;gradual;500;2;2;no;0,5000;500000;250000;Aggstats / MLP;0,9966;general / MLP;0,9970;MLP;0,9870;-0,0004;10,4340;0,0500;;;0,1020;1,9200;0,9890;Aggstats;0,9708;concept;0,5494;0,7690;Raw + temporal;0,9844;complexity;0,6278;0,9470;Aggstats;0,9698;concept;0,5484;0,9966;Aggstats;0,9970;general;0,9870
sea;3;3;gradual;500;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9656;statistical / MLP;0,9728;MLP;0,9430;-0,0072;10,4340;0,0500;;;0,1020;1,9200;0,7548;Aggstats;0,8322;concept;0,3070;0,6614;Raw + temporal;0,8790;general;0,3746;0,7560;Raw + temporal;0,8596;general;0,3062;0,9656;Aggstats;0,9728;statistical;0,9430
sea;7;3;gradual;500;8;4;yes;0,2500;500000;62500;Aggstats / MLP;0,9238;concept / MLP;0,9086;MLP;0,8368;0,0152;10,4340;0,0500;;;0,1020;1,9200;0,6896;Aggstats;0,8284;general;0,2860;0,6284;Raw + temporal;0,8666;complexity;0,3016;0,6928;Raw + temporal;0,8350;general;0,2860;0,9238;Aggstats;0,9086;concept;0,8368
sea;15;3;gradual;500;16;4;yes;0,2500;500000;31250;Aggstats / MLP;0,8338;complexity / KNN;0,8615;MLP;0,5516;-0,0277;10,4340;0,0500;;;0,1020;1,9200;0,6685;Aggstats;0,8324;general;0,2574;0,6071;Raw + temporal;0,8615;complexity;0,2861;0,6641;Aggstats;0,8422;general;0,2576;0,8338;Aggstats;0,8003;concept;0,5516
stagger;1;3;sudden;100;2;2;no;0,5000;500000;250000;Aggstats / GNB;0,9996;complexity / GNB;0,9996;MLP;0,9953;0,0000;10,4340;0,0500;;;0,1020;1,9200;0,9996;Aggstats;0,9996;complexity;0,5178;0,9970;Aggstats;0,9994;concept;0,9014;0,9223;Aggstats;0,9996;complexity;0,8182;0,9950;Aggstats;0,9994;general;0,9953
stagger;3;3;sudden;100;4;3;yes;0,3333;500000;125000;Aggstats / MLP;0,9905;complexity / HT;0,9990;MLP;0,9816;-0,0086;10,4340;0,0500;;;0,1020;1,9200;0,5877;Aggstats;0,9874;info-theory;0,3456;0,9620;Aggstats;0,9983;complexity;0,6649;0,6892;Aggstats;0,9990;complexity;0,3468;0,9905;Aggstats;0,9949;general;0,9816
stagger;7;3;sudden;100;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,9676;complexity / HT;0,9991;MLP;0,9343;-0,0316;10,4340;0,0500;;;0,1020;1,9200;0,4660;Aggstats;0,9818;info-theory;0,3497;0,4176;Raw + temporal;0,9906;complexity;0,3500;0,4990;Aggstats;0,9991;complexity;0,3492;0,9676;Aggstats;0,9855;concept;0,9343
stagger;15;3;sudden;100;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,9280;complexity / HT;0,9985;MLP;0,7648;-0,0705;10,4340;0,0500;;;0,1020;1,9200;0,5033;Aggstats;0,9804;info-theory;0,3432;0,4724;Raw scores;0,9694;statistical;0,3983;0,5085;Raw + temporal;0,9985;complexity;0,3450;0,9280;Aggstats;0,9669;concept;0,7648
stagger;1;3;sudden;200;2;2;no;0,5000;500000;250000;Aggstats / GNB;0,9992;complexity / KNN;0,9994;MLP;0,9898;-0,0002;10,4340;0,0500;;;0,1020;1,9200;0,9992;Aggstats;0,9992;concept;0,5226;0,9954;Aggstats;0,9994;complexity;0,8028;0,8516;Aggstats;0,9991;concept;0,5222;0,9832;Aggstats;0,9988;general;0,9898
stagger;3;3;sudden;200;4;3;yes;0,3333;500000;125000;Aggstats / MLP;0,9790;info-theory / HT;0,9981;MLP;0,9535;-0,0190;10,4340;0,0500;;;0,1020;1,9200;0,5290;Aggstats;0,9978;info-theory;0,3475;0,4334;Raw + temporal;0,9970;complexity;0,3870;0,5248;Aggstats;0,9981;info-theory;0,3502;0,9790;Aggstats;0,9907;concept;0,9535
stagger;7;3;sudden;200;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,9471;info-theory / HT;0,9983;MLP;0,8660;-0,0513;10,4340;0,0500;;;0,1020;1,9200;0,3719;Aggstats;0,9979;info-theory;0,3540;0,4439;Raw + temporal;0,9785;statistical;0,4012;0,4516;Aggstats;0,9983;info-theory;0,3531;0,9471;Aggstats;0,9712;concept;0,8660
stagger;15;3;sudden;200;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,8794;complexity / HT;0,9956;MLP;0,5424;-0,1162;10,4340;0,0500;;;0,1020;1,9200;0,4431;Aggstats;0,9953;info-theory;0,3458;0,4360;Raw scores;0,9684;concept;0,3809;0,5006;Raw + temporal;0,9956;complexity;0,3461;0,8794;Aggstats;0,9416;concept;0,5424
stagger;1;3;sudden;500;2;2;no;0,5000;500000;250000;Aggstats / GNB;0,9980;complexity / KNN;0,9990;MLP;0,9658;-0,0010;10,4340;0,0500;;;0,1020;1,9200;0,9980;Aggstats;0,9980;clustering;0,5384;0,7950;Raw scores;0,9990;complexity;0,6142;0,6896;Aggstats;0,9980;concept;0,5374;0,9980;Aggstats;0,9970;general;0,9658
stagger;3;3;sudden;500;4;3;yes;0,3333;500000;125000;Aggstats / MLP;0,9397;clustering / HT;0,9955;MLP;0,8717;-0,0557;10,4340;0,0500;;;0,1020;1,9200;0,5309;Aggstats;0,9947;clustering;0,3516;0,3904;Raw + temporal;0,9948;info-theory;0,3637;0,3612;Aggstats;0,9955;clustering;0,3561;0,9397;Aggstats;0,9760;concept;0,8717
stagger;7;3;sudden;500;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,8632;info-theory / HT;0,9965;MLP;0,6465;-0,1333;10,4340;0,0500;;;0,1020;1,9200;0,4129;Aggstats;0,9956;clustering;0,3608;0,4583;Raw scores;0,9921;complexity;0,3697;0,4424;Raw + temporal;0,9965;info-theory;0,3592;0,8632;Aggstats;0,9268;concept;0,6465
stagger;15;3;sudden;500;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,6753;info-theory / HT;0,9940;KNN;0,3485;-0,3187;10,4340;0,0500;;;0,1020;1,9200;0,4219;Aggstats;0,9936;info-theory;0,3453;0,4467;Raw + temporal;0,9889;model-based;0,3485;0,4752;Raw + temporal;0,9940;info-theory;0,3451;0,6753;Aggstats;0,8491;concept;0,3323
