drift_type;vanilla_ba;emf_best_ba;komorniczak_best_ba
sea_chunk100_ndrift1_sudden;0,9980;0,9975;0,9994
sea_chunk100_ndrift3_sudden;0,9909;0,9833;0,9954
sea_chunk100_ndrift7_sudden;0,9600;0,9677;0,9826
sea_chunk100_ndrift15_sudden;0,8085;0,9389;0,9458
sea_chunk200_ndrift1_sudden;0,9960;0,9967;0,9988
sea_chunk200_ndrift3_sudden;0,9806;0,9795;0,9902
sea_chunk200_ndrift7_sudden;0,9369;0,9543;0,9663
sea_chunk200_ndrift15_sudden;0,6722;0,8766;0,9258
sea_chunk500_ndrift1_sudden;0,9876;0,9970;0,9970
sea_chunk500_ndrift3_sudden;0,9422;0,9658;0,9720
sea_chunk500_ndrift7_sudden;0,8376;0,8904;0,9298
sea_chunk500_ndrift15_sudden;0,5515;0,8376;0,9155
sea_chunk100_ndrift1_gradual;0,9980;0,9973;0,9994
sea_chunk100_ndrift3_gradual;0,9910;0,9938;0,9952
sea_chunk100_ndrift7_gradual;0,9624;0,9822;0,9821
sea_chunk100_ndrift15_gradual;0,8138;0,8877;0,9388
sea_chunk200_ndrift1_gradual;0,9960;0,9937;0,9988
sea_chunk200_ndrift3_gradual;0,9806;0,9869;0,9900
sea_chunk200_ndrift7_gradual;0,9366;0,9674;0,9642
sea_chunk200_ndrift15_gradual;0,7144;0,9169;0,9098
sea_chunk500_ndrift1_gradual;0,9870;0,9966;0,9970
sea_chunk500_ndrift3_gradual;0,9430;0,9656;0,9728
sea_chunk500_ndrift7_gradual;0,8368;0,9238;0,9086
sea_chunk500_ndrift15_gradual;0,5516;0,8338;0,8615
stagger_chunk100_ndrift1_sudden;0,9953;0,9996;0,9996
stagger_chunk100_ndrift3_sudden;0,9816;0,9905;0,9990
stagger_chunk100_ndrift7_sudden;0,9343;0,9676;0,9991
stagger_chunk100_ndrift15_sudden;0,7648;0,9280;0,9985
stagger_chunk200_ndrift1_sudden;0,9898;0,9992;0,9994
stagger_chunk200_ndrift3_sudden;0,9535;0,9790;0,9981
stagger_chunk200_ndrift7_sudden;0,8660;0,9471;0,9983
stagger_chunk200_ndrift15_sudden;0,5424;0,8794;0,9956
stagger_chunk500_ndrift1_sudden;0,9658;0,9980;0,9990
stagger_chunk500_ndrift3_sudden;0,8717;0,9397;0,9955
stagger_chunk500_ndrift7_sudden;0,6465;0,8632;0,9965
stagger_chunk500_ndrift15_sudden;0,3485;0,6753;0,9940
stagger_chunk100_ndrift1_gradual;0,9953;0,9966;0,9995
stagger_chunk100_ndrift3_gradual;0,9822;0,9797;0,9970
stagger_chunk100_ndrift7_gradual;0,9428;0,9550;0,9816
stagger_chunk100_ndrift15_gradual;0,7880;0,9198;0,9485
stagger_chunk200_ndrift1_gradual;0,9895;0,9951;0,9992
stagger_chunk200_ndrift3_gradual;0,9597;0,9630;0,9905
stagger_chunk200_ndrift7_gradual;0,8870;0,9337;0,9663
stagger_chunk200_ndrift15_gradual;0,6210;0,8650;0,9502
stagger_chunk500_ndrift1_gradual;0,9664;0,9978;0,9980
stagger_chunk500_ndrift3_gradual;0,8873;0,9365;0,9775
stagger_chunk500_ndrift7_gradual;0,7085;0,8410;0,9607
stagger_chunk500_ndrift15_gradual;0,3538;0,6733;0,9490
