cell;n_concepts;l2_min;l2_max;l2_mean
INSECTS-abrupt_balanced;6;0,0098;0,1418;0,0813
INSECTS-abrupt_imbalanced;6;0,0233;0,1085;0,0683
INSECTS-incgradual_balanced;2;0,1183;0,1183;0,1183
INSECTS-incgradual_imbalanced;2;0,1435;0,1435;0,1435
SPAM;6;0,6986;3,3063;2,2586
