experiment;tag;method;n_features;n_windows;time_s;ms_per_window;peak_mb
exp3;sea_chunk100_sudden;ReMF;3;5000;47,5430;9,5090;0,0700
exp3;sea_chunk100_sudden;Komorniczak;3;5000;206,4980;41,3000;0,5200
exp3;sea_chunk100_sudden;Vanilla;3;5000;0,5210;0,1040;0,0100
exp3;stagger_chunk100_sudden;ReMF;3;5000;48,2850;9,6570;0,0500
exp3;stagger_chunk100_sudden;Komorniczak;3;5000;207,6080;41,5220;0,4700
exp3;stagger_chunk100_sudden;Vanilla;3;5000;0,4980;0,1000;0,0100
exp3;led_chunk100_sudden;ReMF;24;5000;543,7430;108,7490;0,9700
exp3;led_chunk100_sudden;Komorniczak;24;5000;860,8550;172,1710;0,6600
exp3;led_chunk100_sudden;Vanilla;24;5000;0,5640;0,1130;0,0600
