cell,concept_a,concept_b,l2,l2_std,n_reps
sea_chunk100_sudden,0,1,0.016,0.0054,5
sea_chunk100_sudden,0,2,0.0228,0.0068,5
sea_chunk100_sudden,0,3,0.0176,0.0036,5
sea_chunk100_sudden,1,2,0.0168,0.0052,5
sea_chunk100_sudden,1,3,0.0211,0.009,5
sea_chunk100_sudden,2,3,0.0201,0.0106,5
sea_chunk100_gradual,0,1,0.0161,0.0052,5
sea_chunk100_gradual,0,2,0.0199,0.0041,5
sea_chunk100_gradual,0,3,0.0174,0.0069,5
sea_chunk100_gradual,1,2,0.0186,0.006,5
sea_chunk100_gradual,1,3,0.0172,0.0045,5
sea_chunk100_gradual,2,3,0.0174,0.0067,5
stagger_chunk100_sudden,0,1,0.0052,0.0016,5
stagger_chunk100_sudden,0,2,0.0048,0.0019,5
stagger_chunk100_sudden,1,2,0.0063,0.0027,5
stagger_chunk100_gradual,0,1,0.0042,0.0011,5
stagger_chunk100_gradual,0,2,0.0032,0.001,5
stagger_chunk100_gradual,1,2,0.0046,0.0019,5
led_chunk100_sudden,0,1,0.4383,0.0972,5
led_chunk100_sudden,0,2,0.5663,0.0689,5
led_chunk100_sudden,0,3,0.7355,0.0014,5
led_chunk100_sudden,1,2,0.5873,0.1149,5
led_chunk100_sudden,1,3,0.7009,0.0434,5
led_chunk100_sudden,2,3,0.5975,0.1513,5
led_chunk100_gradual,0,1,0.4164,0.0922,5
led_chunk100_gradual,0,2,0.5253,0.0798,5
led_chunk100_gradual,0,3,0.7005,0.0336,5
led_chunk100_gradual,1,2,0.6049,0.0311,5
led_chunk100_gradual,1,3,0.6654,0.0576,5
led_chunk100_gradual,2,3,0.6654,0.0687,5
